EmployeeId,FullName_x,Total
5,Helena Holý,502.62
4,Richard Cunningham,474.62
3,Hugh O'Reilly,446.62
3,Ladislav Kovács,446.62
5,Luis Rojas,415.62
5,Victor Stevens,404.62
5,Astrid Gruber,404.62
3,Fynn Zimmermann,388.62
3,Frank Ralston,378.62
4,František Wichterlová,376.62
3,Isabelle Mercier,376.62
5,Julia Barnett,370.62
4,Bjørn Hansen,362.62
4,João Fernandes,352.62
5,Jack Smith,352.62
5,Johannes Van der Berg,352.62
3,Terhi Hämäläinen,350.62
3,Jennifer Peterson,343.62
5,Joakim Johansson,340.62
4,Dan Miller,338.62
3,Luís Gonçalves,338.62
3,François Tremblay,338.62
3,Wyatt Girard,338.62
4,Heather Leacock,338.62
4,Dominique Lefebvre,336.62
3,Tim Goyer,335.62
4,Camille Bernard,335.62
3,Manoj Pareek,335.62
5,Kathy Chase,334.62
5,Leonie Köhler,334.62
5,Lucas Mancini,334.62
5,Marc Dubois,334.62
5,Mark Philips,334.62
5,Martha Silk,334.62
5,Hannah Schneider,334.62
5,Enrique Muñoz,334.62
5,Steve Murray,334.62
5,Alexandre Rocha,334.62
4,Stanisław Wójcik,334.62
3,Edward Francis,334.62
4,Patrick Gray,334.62
4,Mark Taylor,334.62
3,Emma Jones,334.62
3,Michelle Brooks,334.62
3,Niklas Schröder,334.62
3,Phil Hughes,334.62
3,Robert Brown,334.62
3,Roberto Almeida,334.62
4,Aaron Mitchell,334.62
4,Daan Peeters,334.62
4,Diego Gutiérrez,334.62
4,Eduardo Martins,334.62
3,Ellie Sullivan,334.62
4,Frank Harris,334.62
4,John Gordon,334.62
4,Kara Nielsen,334.62
4,Madalena Sampaio,334.62
4,Fernanda Ramos,334.62
3,Puja Srivastava,331.65999999999997
